Date,Âge,Sexe,cooling type,Building_type,Climate,Season,Tair,tr,Tout,vel,RH,clo,Met,thermal_sensation,thermal_preference,TSV_3p,lat,lon
09-17-04,25,Female,Naturally Ventilated,Office,Cfb,Summer,23.6,23.9,19.0,0.06,43.0,0.9,1.2,0,0.0,0.0,45.750000,4.850000
09-17-04,24,Male,Naturally Ventilated,Office,Cfb,Summer,23.7,24.3,19.6,0.04,43.0,0.66,1.2,0,0.0,0.0,45.750000,4.850000
09-17-04,59,Male,Naturally Ventilated,Office,Cfb,Summer,23.7,23.1,19.6,0.05,41.0,0.63,1.2,0,0.0,0.0,45.750000,4.850000
08-03-04,26,Male,Naturally Ventilated,Office,Cfb,Summer,32.9,32.4,19.6,0.28,43.0,0.46,1.325,2,-1.0,1.0,45.750000,4.850000
08-03-04,26,Male,Naturally Ventilated,Office,Cfb,Summer,32.3,32.3,19.6,0.35,44.0,0.41,1.15,3,-1.0,1.0,45.750000,4.850000
08-03-04,42,Male,Naturally Ventilated,Office,Cfb,Summer,29.8,29.5,19.6,0.42,51.0,0.62,1.2,2,-1.0,1.0,45.750000,4.850000
08-03-04,50,Female,Naturally Ventilated,Office,Cfb,Summer,29.7,28.8,19.6,0.17,48.0,0.64,1.4,0,0.0,0.0,45.750000,4.850000
08-03-04,23,Male,Naturally Ventilated,Office,Cfb,Summer,26.7,27.4,19.7,0.21,42.0,0.51,1.125,2,-1.0,1.0,45.750000,4.850000
08-03-04,24,Male,Naturally Ventilated,Office,Cfb,Summer,31.8,31.8,19.7,0.12,46.0,0.61,1.15,3,-1.0,1.0,45.750000,4.850000
08-03-04,25,Male,Naturally Ventilated,Office,Cfb,Summer,29.8,29.5,19.2,0.42,51.0,0.43,1.2,2,-1.0,1.0,45.750000,4.850000
08-03-04,23,Male,Naturally Ventilated,Office,Cfb,Summer,31.8,31.8,19.2,0.12,46.0,0.45,1.15,2,-1.0,1.0,45.750000,4.850000
08-03-04,23,Female,Naturally Ventilated,Office,Cfb,Summer,26.4,28.3,17.9,0.17,43.0,0.43,1.2,1,0.0,1.0,45.750000,4.850000
08-03-04,23,Male,Naturally Ventilated,Office,Cfb,Summer,25.5,25.7,17.9,0.11,44.0,0.55,1.2,0,0.0,0.0,45.750000,4.850000
08-04-04,26,Male,Naturally Ventilated,Office,Cfb,Summer,32.1,32.1,19.1,0.34,41.0,0.43,1.15,3,-1.0,1.0,45.750000,4.850000
08-04-04,26,Male,Naturally Ventilated,Office,Cfb,Summer,32.1,32.1,19.1,0.34,41.0,0.41,1.2,2,-1.0,1.0,45.750000,4.850000
08-04-04,26,Male,Naturally Ventilated,Office,Cfb,Summer,31.7,32.0,19.1,0.06,41.0,0.48,1.325,2,-1.0,1.0,45.750000,4.850000
08-04-04,42,Male,Naturally Ventilated,Office,Cfb,Summer,29.6,29.6,19.1,0.52,45.0,0.54,1.475,2,-1.0,1.0,45.750000,4.850000
08-04-04,50,Female,Naturally Ventilated,Office,Cfb,Summer,29.7,28.4,19.1,0.06,44.0,0.5,1.4,0,0.0,0.0,45.750000,4.850000
08-04-04,23,Male,Naturally Ventilated,Office,Cfb,Summer,24.4,25.3,20.0,0.21,45.0,0.48,1.0,0,0.0,0.0,45.750000,4.850000
08-04-04,30,Male,Naturally Ventilated,Office,Cfb,Summer,31.8,31.8,20.0,0.27,41.0,0.63,1.375,0,-1.0,0.0,45.750000,4.850000
08-04-04,24,Male,Naturally Ventilated,Office,Cfb,Summer,32.2,32.0,20.0,0.22,42.0,0.61,1.2,2,-1.0,1.0,45.750000,4.850000
08-04-04,25,Male,Naturally Ventilated,Office,Cfb,Summer,31.6,31.6,20.0,0.34,41.0,0.49,1.2,2,-1.0,1.0,45.750000,4.850000
08-04-04,23,Male,Naturally Ventilated,Office,Cfb,Summer,32.2,32.0,20.0,0.22,42.0,0.45,1.2,2,-1.0,1.0,45.750000,4.850000
08-04-04,23,Male,Naturally Ventilated,Office,Cfb,Summer,23.2,23.9,22.9,0.16,46.0,0.56,1.2,-1,1.0,-1.0,45.750000,4.850000
08-05-04,26,Male,Naturally Ventilated,Office,Cfb,Summer,31.8,31.5,21.0,0.39,46.0,0.6,1.4,1,-1.0,1.0,45.750000,4.850000
08-05-04,26,Male,Naturally Ventilated,Office,Cfb,Summer,31.6,31.6,21.0,0.32,46.0,0.59,1.4,2,-1.0,1.0,45.750000,4.850000
08-05-04,42,Male,Naturally Ventilated,Office,Cfb,Summer,25.8,26.8,21.0,0.07,57.0,0.49,1.2,1,-1.0,1.0,45.750000,4.850000
