Tair,tr,RH,vel,clo,Met,thermal_sensation,thermal_preference,Âge,Sexe,cooling type,Building_type,Tout,clim,Season,lat,lon,TSV_3p,Climate
22.0833330000000,22.492544000000,41.82,0.103333000000000,0.56,1.375,1,-1,22.0,Female,Air Conditioned,Office,13.45,hot arid,Winter,-30.749,121.466,1,BSh
23.1433330000000,23.3742310000000,39.0,0.086,0.6,1.031,1,0,24.0,Female,Air Conditioned,Office,13.45,hot arid,Winter,-30.749,121.466,1,BSh
21.4966670000000,21.77331800000,40.47,0.0746670000000000,0.63,1.173,-1,0,49.0,Female,Air Conditioned,Office,13.45,hot arid,Winter,-30.749,121.466,-1,BSh
21.5733330000000,21.6750570000000,40.06,0.05,0.96,1.203,1,1,39.0,Female,Air Conditioned,Office,13.45,hot arid,Winter,-30.749,121.466,1,BSh
22.07,21.9106050000000,38.0,0.215,0.58,1.396,0,-1,32.0,Female,Air Conditioned,Office,13.45,hot arid,Winter,-30.749,121.466,0,BSh
21.8933330000000,21.9294010000000,40.8,0.119333000000000,0.44,1.117,1,0,31.0,Female,Air Conditioned,Office,13.45,hot arid,Winter,-30.749,121.466,1,BSh
21.48,21.7036510000000,40.99,0.0736670000000000,1.06,1.203,1,0,49.0,Female,Air Conditioned,Office,13.45,hot arid,Winter,-30.749,121.466,1,BSh
21.46,21.589968000000,42.45,0.1,0.7,1.031,-1,1,52.0,Female,Air Conditioned,Office,13.45,hot arid,Winter,-30.749,121.466,-1,BSh
21.0666670000000,21.3620500000000,42.31,0.0593330000000000,0.94,1.031,1,-1,23.0,Female,Air Conditioned,Office,13.45,hot arid,Winter,-30.749,121.466,1,BSh
21.5433330000000,21.6446280000000,41.04,0.0726670000000000,0.46,1.375,0,0,45.0,Female,Air Conditioned,Office,13.45,hot arid,Winter,-30.749,121.466,0,BSh
21.67,21.9539300000000,40.84,0.0673330000000000,0.82,1.375,0,0,39.0,Female,Air Conditioned,Office,13.45,hot arid,Winter,-30.749,121.466,0,BSh
22.2,22.201182000000,38.29,0.163333000000000,1.06,1.375,0,0,47.0,Female,Air Conditioned,Office,13.45,hot arid,Winter,-30.749,121.466,0,BSh
21.69,21.8054130000000,40.42,0.0710000000000000,0.79,1.246,0,0,45.0,Female,Air Conditioned,Office,13.45,hot arid,Winter,-30.749,121.466,0,BSh
16.4533330000000,16.8249020000000,59.35,0.082,0.82,1.095,-1,1,45.0,Female,Air Conditioned,Office,11.35,hot arid,Winter,-30.749,121.466,-1,BSh
17.9266670000000,18.0875200000000,53.17,0.101667000000000,0.89,1.117,-1,1,33.0,Female,Air Conditioned,Office,11.35,hot arid,Winter,-30.749,121.466,-1,BSh
17.9566670000000,19.0761070000000,53.62,0.0966670000000000,1.23,1.031,-1,1,32.0,Female,Air Conditioned,Office,11.35,hot arid,Winter,-30.749,121.466,-1,BSh
17.7766670000000,18.3229630000000,55.04,0.0893330000000000,0.83,1.658,0,0,28.0,Female,Air Conditioned,Office,11.35,hot arid,Winter,-30.749,121.466,0,BSh
17.2966670000000,17.5528990000000,58.14,0.0876670000000000,0.89,1.546,-1,0,32.0,Female,Air Conditioned,Office,11.35,hot arid,Winter,-30.749,121.466,-1,BSh
17.37,17.927021000000,56.77,0.0793330000000000,1.15,1.718,0,1,23.0,Female,Air Conditioned,Office,11.35,hot arid,Winter,-30.749,121.466,0,BSh
17.25,17.6921630000000,55.0,0.107333000000000,0.65,1.546,-2,1,36.0,Female,Air Conditioned,Office,11.35,hot arid,Winter,-30.749,121.466,-1,BSh
17.0833330000000,17.3948270000000,54.96,0.109333000000000,0.92,1.418,0,1,53.0,Female,Air Conditioned,Office,11.35,hot arid,Winter,-30.749,121.466,0,BSh
17.0766670000000,17.447093000000,58.14,0.0943330000000000,0.64,1.718,0,1,33.0,Female,Air Conditioned,Office,11.35,hot arid,Winter,-30.749,121.466,0,BSh
17.7433330000000,18.1920900000000,54.74,0.0656670000000000,0.95,1.246,-1,1,31.0,Female,Air Conditioned,Office,11.35,hot arid,Winter,-30.749,121.466,-1,BSh
17.7633330000000,18.6501940000000,53.69,0.084,0.93,1.418,1,0,42.0,Female,Air Conditioned,Office,11.35,hot arid,Winter,-30.749,121.466,1,BSh
18.02,18.4039130000000,52.88,0.0723330000000000,1.46,1.117,-1,1,25.0,Female,Air Conditioned,Office,11.35,hot arid,Winter,-30.749,121.466,-1,BSh
18.0833330000000,18.8621520000000,52.6,0.161,1.18,1.345,0,1,45.0,Female,Air Conditioned,Office,11.35,hot arid,Winter,-30.749,121.466,0,BSh
18.6666670000000,19.7783190000000,54.7,0.044,0.84,1.345,1,0,38.0,Female,Air Conditioned,Office,11.35,hot arid,Winter,-30.749,121.466,1,BSh
19.74,20.2305890000000,51.66,0.0676670000000000,1.0,1.516,1,0,50.0,Female,Air Conditioned,Office,11.35,hot arid,Winter,-30.749,121.466,1,BSh
21.6433330000000,21.7603080000000,44.84,0.0696670000000000,0.53,1.267,2,0,45.0,Female,Air Conditioned,Office,11.35,hot arid,Winter,-30.749,121.466,1,BSh
20.8966670000000,21.2042740000000,42.03,0.155333000000000,0.92,1.117,0,0,47.0,Female,Air Conditioned,Office,11.35,hot arid,Winter,-30.749,121.466,0,BSh
20.7633330000000,21.0152370000000,43.84,0.133333000000000,0.79,1.345,0,0,35.0,Female,Air Conditioned,Office,11.35,hot arid,Winter,-30.749,121.466,0,BSh
20.8366670000000,21.0711880000000,47.29,0.113,1.04,1.366,0,0,45.0,Female,Air Conditioned,Office,11.35,hot arid,Winter,-30.749,121.466,0,BSh
20.9033330000000,20.8991320000000,48.17,0.109333000000000,0.74,1.117,1,0,41.0,Female,Air Conditioned,Office,11.35,hot arid,Winter,-30.749,121.466,1,BSh
21.4166670000000,21.5590750000000,46.86,0.0973330000000000,0.82,1.314,1,0,51.0,Female,Air Conditioned,Office,11.35,hot arid,Winter,-30.749,121.466,1,BSh
21.9166670000000,22.200322000000,43.29,0.058,0.42,1.237,2,-1,67.0,Female,Air Conditioned,Office,11.35,hot arid,Winter,-30.749,121.466,1,BSh
21.9166670000000,22.4012860000000,42.93,0.114,0.62,1.074,1,0,31.0,Female,Air Conditioned,Office,11.35,hot arid,Winter,-30.749,121.466,1,BSh
