Date,Âge,Sexe,cooling type,Building_type,Climate,Season,Tair,tr,Tout,vel,RH,clo,Met,thermal_sensation,thermal_preference,TSV_3p,lat,lon,Trm_ema_28,Tout_ema_28,RHout_ema_28,precip_ema_28,sunshine_ema_h_28,wind_ema_28,Trm_ema_14,Tout_ema_14,RHout_ema_14,precip_ema_14,sunshine_ema_h_14,wind_ema_14,Trm_ema_7,Tout_ema_7,RHout_ema_7,precip_ema_7,sunshine_ema_h_7,wind_ema_7
08-12-04,25,male,naturally ventilated,office,Cfb,summer,30.5,30.8,22.2,0.38,41.0,0.6,1.2,2,-1.0,1.0,45.75,4.85,23.158277,23.158277,63.81241,3.547252,12.175553,8.699861,24.017924,24.017924,64.284039,5.752621,11.537508,7.3577,23.260023,23.260023,69.622935,9.378516,10.524858,7.581745
08-12-04,30,male,naturally ventilated,office,Cfb,summer,29.9,30.6,22.2,0.28,44.0,0.57,1.3,1,-1.0,1.0,45.75,4.85,23.158277,23.158277,63.81241,3.547252,12.175553,8.699861,24.017924,24.017924,64.284039,5.752621,11.537508,7.3577,23.260023,23.260023,69.622935,9.378516,10.524858,7.581745
08-12-04,47,female,naturally ventilated,office,Cfb,summer,29.4,29.7,22.2,0.4,42.0,0.46,1.075,1,-1.0,1.0,45.75,4.85,23.158277,23.158277,63.81241,3.547252,12.175553,8.699861,24.017924,24.017924,64.284039,5.752621,11.537508,7.3577,23.260023,23.260023,69.622935,9.378516,10.524858,7.581745
08-12-04,31,female,naturally ventilated,office,Cfb,summer,30.6,30.8,22.2,0.27,40.0,0.46,1.1,0,-1.0,0.0,45.75,4.85,23.158277,23.158277,63.81241,3.547252,12.175553,8.699861,24.017924,24.017924,64.284039,5.752621,11.537508,7.3577,23.260023,23.260023,69.622935,9.378516,10.524858,7.581745
08-12-04,30,female,naturally ventilated,office,Cfb,summer,30.1,30.3,25.0,0.12,43.0,0.43,1.1,3,-1.0,1.0,45.75,4.85,23.158277,23.158277,63.81241,3.547252,12.175553,8.699861,24.017924,24.017924,64.284039,5.752621,11.537508,7.3577,23.260023,23.260023,69.622935,9.378516,10.524858,7.581745
08-12-04,45,male,naturally ventilated,office,Cfb,summer,30.6,30.8,26.3,0.27,40.0,0.55,1.15,1,-1.0,1.0,45.75,4.85,23.158277,23.158277,63.81241,3.547252,12.175553,8.699861,24.017924,24.017924,64.284039,5.752621,11.537508,7.3577,23.260023,23.260023,69.622935,9.378516,10.524858,7.581745
08-13-04,59,female,naturally ventilated,office,Cfb,summer,25.4,25.4,27.4,0.13,44.0,0.45,1.4,2,0.0,1.0,45.75,4.85,23.364129,23.364129,64.98373,3.889754,11.975296,8.222848,23.631003,23.631003,65.669196,5.545605,11.460494,8.408145,22.898412,22.898412,69.891048,8.083887,10.860887,8.510822
08-13-04,24,female,naturally ventilated,office,Cfb,summer,27.9,28.1,27.4,0.04,38.0,0.44,1.2,1,-1.0,1.0,45.75,4.85,23.364129,23.364129,64.98373,3.889754,11.975296,8.222848,23.631003,23.631003,65.669196,5.545605,11.460494,8.408145,22.898412,22.898412,69.891048,8.083887,10.860887,8.510822
08-13-04,26,male,naturally ventilated,office,Cfb,summer,27.9,28.1,27.4,0.04,38.0,0.55,1.2,2,-1.0,1.0,45.75,4.85,23.364129,23.364129,64.98373,3.889754,11.975296,8.222848,23.631003,23.631003,65.669196,5.545605,11.460494,8.408145,22.898412,22.898412,69.891048,8.083887,10.860887,8.510822
08-13-04,28,female,naturally ventilated,office,Cfb,summer,26.7,27.7,27.4,0.05,53.0,0.5,1.15,1,0.0,1.0,45.75,4.85,23.364129,23.364129,64.98373,3.889754,11.975296,8.222848,23.631003,23.631003,65.669196,5.545605,11.460494,8.408145,22.898412,22.898412,69.891048,8.083887,10.860887,8.510822
08-13-04,51,male,naturally ventilated,office,Cfb,summer,28.6,29.7,21.6,0.06,39.0,0.6,1.2,2,-1.0,1.0,45.75,4.85,23.364129,23.364129,64.98373,3.889754,11.975296,8.222848,23.631003,23.631003,65.669196,5.545605,11.460494,8.408145,22.898412,22.898412,69.891048,8.083887,10.860887,8.510822
08-13-04,27,male,naturally ventilated,office,Cfb,summer,28.6,29.7,21.6,0.06,39.0,0.51,1.2,2,0.0,1.0,45.75,4.85,23.364129,23.364129,64.98373,3.889754,11.975296,8.222848,23.631003,23.631003,65.669196,5.545605,11.460494,8.408145,22.898412,22.898412,69.891048,8.083887,10.860887,8.510822
08-13-04,43,female,naturally ventilated,office,Cfb,summer,28.5,29.4,21.6,0.07,38.0,0.45,1.3,1,-1.0,1.0,45.75,4.85,23.364129,23.364129,64.98373,3.889754,11.975296,8.222848,23.631003,23.631003,65.669196,5.545605,11.460494,8.408145,22.898412,22.898412,69.891048,8.083887,10.860887,8.510822
08-13-04,49,female,naturally ventilated,office,Cfb,summer,27.3,28.7,21.6,0.36,37.0,0.5,1.15,1,-1.0,1.0,45.75,4.85,23.364129,23.364129,64.98373,3.889754,11.975296,8.222848,23.631003,23.631003,65.669196,5.545605,11.460494,8.408145,22.898412,22.898412,69.891048,8.083887,10.860887,8.510822
08-13-04,39,female,naturally ventilated,office,Cfb,summer,28.5,29.4,23.0,0.07,38.0,0.56,1.5,3,-1.0,1.0,45.75,4.85,23.364129,23.364129,64.98373,3.889754,11.975296,8.222848,23.631003,23.631003,65.669196,5.545605,11.460494,8.408145,22.898412,22.898412,69.891048,8.083887,10.860887,8.510822
08-13-04,26,female,naturally ventilated,office,Cfb,summer,29.2,29.0,23.0,0.11,42.0,0.4,1.175,1,-1.0,1.0,45.75,4.85,23.364129,23.364129,64.98373,3.889754,11.975296,8.222848,23.631003,23.631003,65.669196,5.545605,11.460494,8.408145,22.898412,22.898412,69.891048,8.083887,10.860887,8.510822
08-13-04,25,male,naturally ventilated,office,Cfb,summer,28.8,29.3,25.9,0.33,33.0,0.57,1.2,2,-1.0,1.0,45.75,4.85,23.364129,23.364129,64.98373,3.889754,11.975296,8.222848,23.631003,23.631003,65.669196,5.545605,11.460494,8.408145,22.898412,22.898412,69.891048,8.083887,10.860887,8.510822
08-13-04,47,female,naturally ventilated,office,Cfb,summer,28.3,27.5,26.6,0.31,34.0,0.5,1.0,2,-1.0,1.0,45.75,4.85,23.364129,23.364129,64.98373,3.889754,11.975296,8.222848,23.631003,23.631003,65.669196,5.545605,11.460494,8.408145,22.898412,22.898412,69.891048,8.083887,10.860887,8.510822
08-13-04,31,female,naturally ventilated,office,Cfb,summer,30.0,31.0,26.6,0.27,33.0,0.46,1.125,2,-1.0,1.0,45.75,4.85,23.364129,23.364129,64.98373,3.889754,11.975296,8.222848,23.631003,23.631003,65.669196,5.545605,11.460494,8.408145,22.898412,22.898412,69.891048,8.083887,10.860887,8.510822
09-10-04,40,female,naturally ventilated,office,Cfb,summer,28.1,28.6,26.9,0.04,35.0,0.55,1.0,3,-1.0,1.0,45.75,4.85,20.312155,20.312155,71.198883,1.365999,11.784232,6.713069,20.753314,20.753314,70.970508,0.1254579999999999,11.800004,5.671261,22.082427,22.082427,69.483566,0.042188,11.741011,5.20753
09-10-04,40,female,naturally ventilated,office,Cfb,summer,27.6,27.4,26.9,0.24,34.0,0.48,1.2,0,0.0,0.0,45.75,4.85,20.312155,20.312155,71.198883,1.365999,11.784232,6.713069,20.753314,20.753314,70.970508,0.1254579999999999,11.800004,5.671261,22.082427,22.082427,69.483566,0.042188,11.741011,5.20753
